ID;species;type;target
G0CIT6;Xanthomonas campestris;Unknown;Non-Vertebrate
B6A882;Yersinia entomophaga;Unknown;Non-Vertebrate
B6A881;Yersinia entomophaga;Unknown;Non-Vertebrate
P22522;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
Q841V4;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
Q83TS1;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
A7GJP5;Clostridium botulinum;TypeII_PFT_bacteria;Non-Vertebrate
P0A312;Lactococcus lactis;TypeII_PFT_bacteria;Non-Vertebrate
P35518;Lactococcus lactis;TypeII_PFT_bacteria;Non-Vertebrate
P38578;Carnobacterium maltaromaticum;TypeII_PFT_bacteria;Non-Vertebrate
O34017;Enterococcus faecium;TypeII_PFT_bacteria;Non-Vertebrate
P80323;Lactobacillus curvatus;TypeII_PFT_bacteria;Non-Vertebrate
P80214;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
Q6VMM8;Streptococcus equinus;TypeII_PFT_bacteria;Non-Vertebrate
P80696;Lactobacillus amylovorus;TypeII_PFT_bacteria;Non-Vertebrate
Q46313;Carnobacterium maltaromaticum;TypeII_PFT_bacteria;Non-Vertebrate
P29430;Pediococcus acidilactici;TypeII_PFT_bacteria;Non-Vertebrate
P35618;Lactobacillus sakei;TypeII_PFT_bacteria;Non-Vertebrate
P80569;Carnobacterium maltaromaticum;TypeII_PFT_bacteria;Non-Vertebrate
Q47784;Enterococcus faecium;TypeII_PFT_bacteria;Non-Vertebrate
P38577;Leuconostoc mesenteroides;TypeII_PFT_bacteria;Non-Vertebrate
P34034;Leuconostoc gelidum;TypeII_PFT_bacteria;Non-Vertebrate
P38580;Carnobacterium maltaromaticum;TypeII_PFT_bacteria;Non-Vertebrate
P0A310;Lactobacillus sakei;TypeII_PFT_bacteria;Non-Vertebrate
P80493;Lactobacillus sakei;TypeII_PFT_bacteria;Non-Vertebrate
O30434;Enterococcus faecium;TypeII_PFT_bacteria;Non-Vertebrate
A9Q0M7;Streptococcus uberis;TypeII_PFT_bacteria;Non-Vertebrate
B1NRV2;Enterococcus faecalis;TypeII_PFT_bacteria;Non-Vertebrate
P84962;Carnobacterium divergens;TypeII_PFT_bacteria;Non-Vertebrate
P83002;Lactococcus lactis;TypeII_PFT_bacteria;Non-Vertebrate
Q6TGQ7;Enterococcus mundtii;TypeII_PFT_bacteria;Non-Vertebrate
P24022;Lactobacillus johnsonii;TypeII_PFT_bacteria;Non-Vertebrate
Q3SAX6;Carnobacterium divergens;TypeII_PFT_bacteria;Non-Vertebrate
P71469;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
R2S6C2;Enterococcus pallens;TypeII_PFT_bacteria;Non-Vertebrate
P71460;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
B9ZZY0;Lactococcus sp.;TypeII_PFT_bacteria;Non-Vertebrate
U2JAA3;Streptococcus sobrinus;TypeII_PFT_bacteria;Non-Vertebrate
O32831;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
O32830;Lactobacillus plantarum;TypeII_PFT_bacteria;Non-Vertebrate
Q2MDB2;Bacillus cereus;TypeII_PFT_bacteria;Non-Vertebrate
Q47765;Enterococcus faecalis;TypeII_PFT_bacteria;Non-Vertebrate
Q8GB47;Clostridium beijerinckii;TypeII_PFT_bacteria;Non-Vertebrate
E7G765;Coprobacillus cateniformis;TypeII_PFT_bacteria;Non-Vertebrate
O24790;Lactobacillus gasseri;TypeII_PFT_bacteria;Non-Vertebrate
Q9ZGP5;Butyrivibrio fibrisolvens;TypeII_PFT_bacteria;Non-Vertebrate
O07623;Bacillus subtilis;TypeII_PFT_bacteria;Non-Vertebrate
F9P995;Streptococcus constellatus;TypeII_PFT_bacteria;Non-Vertebrate
B2MVM5;Carnobacterium maltaromaticum;TypeII_PFT_bacteria;Non-Vertebrate
D2KC49;Lactococcus garvieae;TypeII_PFT_bacteria;Non-Vertebrate
A5H1G9;Streptococcus uberis;TypeII_PFT_bacteria;Non-Vertebrate
A0RKJ6;Bacillus thuringiensis;TypeII_PFT_bacteria;Non-Vertebrate
P06716;Escherichia coli;Unknown;Non-Vertebrate
P04479;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
Q6WRX0;Hafnia alvei;TypeII_PFT_bacteria;Non-Vertebrate
Q6WRW3;Hafnia alvei;TypeII_PFT_bacteria;Non-Vertebrate
H8YUQ0;Yersinia frederiksenii;TypeII_PFT_bacteria;Non-Vertebrate
Q9I4Y4;Pseudomonas aeruginosa;TypeII_PFT_bacteria;Non-Vertebrate
Q47502;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
P02978;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
Q47125;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
P04480;Citrobacter freundii;TypeII_PFT_bacteria;Non-Vertebrate
P05819;Escherichia coli;Unknown;Non-Vertebrate
P08083;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
Q9XB47;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
T2D1N2;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
I4L7C8;Pseudomonas synxantha;TypeII_PFT_bacteria;Non-Vertebrate
P09883;Escherichia coli;TypeII_PFT_bacteria;Non-Vertebrate
Q06584;Pseudomonas aeruginosa;TypeII_PFT_bacteria;Non-Vertebrate
Q45757;Bacillus thuringiensis;TypeII_PFT_bacteria;Non-Vertebrate
Q45747;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45754;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45716;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45748;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45739;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q45758;Bacillus thuringiensis;Unknown;Non-Vertebrate
Q06117;Bacillus thuringiensis;Unknown;Non-Vertebrate
O87404;Bacillus thuringiensis;Unknown;Non-Vertebrate
